student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
S1357,Student_357,Grade 8,70.3,60.2,82.4,23.4,74.5,55.4
S1358,Student_358,Grade 10,76.2,69.7,51.1,65.1,11.5,63.4
S1359,Student_359,Grade 8,61.3,49.1,68.6,38.0,34.4,47.8
S1360,Student_360,Grade 8,72.2,72.6,79.6,32.6,5.0,69.3
S1361,Student_361,Grade 9,60.9,53.2,72.5,20.6,5.0,50.0
S1362,Student_362,Grade 8,62.7,65.0,67.8,35.3,240.0,39.6
S1363,Student_363,Grade 8,53.1,37.6,80.0,42.9,15.8,48.2
S1364,Student_364,Grade 10,58.9,62.2,24.5,33.8,55.2,39.9
S1365,Student_365,Grade 8,53.8,62.1,75.2,50.4,65.7,47.2
S1366,Student_366,Grade 10,58.3,38.4,55.2,17.6,78.1,36.2
S1367,Student_367,Grade 10,82.6,86.4,37.5,49.4,240.0,66.1
S1368,Student_368,Grade 7,58.6,70.9,72.7,20.1,11.1,63.8
S1369,Student_369,Grade 6,100.0,87.9,85.6,64.4,5.0,85.6
S1370,Student_370,Grade 6,75.9,92.6,62.9,56.2,21.2,67.1
S1371,Student_371,Grade 6,72.2,76.4,79.3,38.3,5.6,68.7
S1372,Student_372,Grade 6,59.7,52.6,89.2,10.0,5.0,50.6
S1373,Student_373,Grade 9,78.4,77.8,84.7,49.4,17.9,67.1
S1374,Student_374,Grade 6,63.1,68.7,89.6,43.1,61.3,56.7
S1375,Student_375,Grade 7,71.5,72.2,76.1,47.7,33.4,54.9
S1376,Student_376,Grade 10,100.0,100.0,66.1,74.8,15.0,82.1
S1377,Student_377,Grade 6,68.8,59.6,41.0,28.5,42.5,52.4
S1378,Student_378,Grade 10,83.8,85.5,61.3,58.4,10.6,71.1
S1379,Student_379,Grade 7,61.6,47.4,52.4,51.2,5.0,49.1
S1380,Student_380,Grade 6,69.6,68.5,97.6,20.4,57.8,58.4
S1381,Student_381,Grade 9,91.2,82.2,62.4,58.6,39.1,77.4
S1382,Student_382,Grade 9,62.5,55.1,66.8,31.4,57.5,45.8
S1383,Student_383,Grade 10,91.7,100.0,73.3,54.1,5.0,84.5
S1384,Student_384,Grade 9,78.5,89.4,65.7,51.3,72.6,64.6
S1385,Student_385,Grade 10,63.3,69.3,90.4,32.1,38.7,57.9
S1386,Student_386,Grade 7,77.6,66.7,55.7,38.4,33.1,51.9
S1387,Student_387,Grade 7,81.7,78.5,67.9,49.4,39.2,66.2
S1388,Student_388,Grade 9,77.5,89.6,53.9,33.4,79.9,71.1
S1389,Student_389,Grade 10,51.2,52.6,45.2,17.7,35.4,45.8
S1390,Student_390,Grade 10,61.3,84.5,55.8,44.9,34.8,66.3
S1391,Student_391,Grade 8,67.0,71.0,64.4,26.4,187.0,61.2
S1392,Student_392,Grade 8,69.1,71.0,58.6,49.5,56.5,54.5
S1393,Student_393,Grade 9,77.4,74.4,54.6,52.0,23.4,62.4
S1394,Student_394,Grade 7,72.1,73.5,43.9,22.6,49.2,51.1
S1395,Student_395,Grade 10,54.0,52.5,63.8,24.3,19.7,56.4
S1396,Student_396,Grade 10,74.6,81.6,42.4,59.1,10.4,56.7
S1397,Student_397,Grade 8,77.3,86.9,76.4,34.6,36.3,74.6
S1398,Student_398,Grade 9,76.7,68.9,66.2,40.5,105.3,68.7
S1399,Student_399,Grade 9,83.0,69.7,43.1,55.3,105.9,74.4
S1400,Student_400,Grade 6,80.0,61.6,60.4,57.4,16.7,61.6
S1401,Student_401,Grade 10,75.5,80.6,53.7,42.3,30.0,67.9
S1402,Student_402,Grade 8,69.2,58.1,69.8,34.3,9.5,71.5
S1403,Student_403,Grade 10,50.1,28.5,85.1,47.1,217.3,45.0
S1404,Student_404,Grade 7,75.2,79.0,36.9,66.0,158.8,54.1
S1405,Student_405,Grade 10,72.5,97.4,66.7,55.2,41.9,60.1
S1406,Student_406,Grade 8,73.3,73.2,62.6,45.0,65.3,67.5
S1407,Student_407,Grade 6,54.7,63.1,75.1,23.1,50.2,42.1
S1408,Student_408,Grade 10,57.0,57.8,68.2,24.3,36.0,49.5
S1409,Student_409,Grade 6,82.6,81.6,53.7,55.9,5.0,71.1
S1410,Student_410,Grade 7,69.5,78.7,60.2,46.7,24.3,64.2
S1411,Student_411,Grade 10,78.2,75.3,53.1,63.7,44.9,68.9
S1412,Student_412,Grade 10,70.3,73.0,81.1,50.0,45.3,67.9
S1413,Student_413,Grade 8,70.4,73.6,65.3,24.2,18.7,67.4
S1414,Student_414,Grade 9,81.3,74.6,93.5,61.4,113.7,69.3
S1415,Student_415,Grade 8,63.8,73.7,64.1,26.3,7.3,53.5
S1416,Student_416,Grade 7,71.2,69.4,54.4,38.1,27.8,54.2
S1417,Student_417,Grade 7,64.5,56.9,42.3,41.7,47.0,56.5
S1418,Student_418,Grade 9,64.8,70.2,38.0,62.8,47.8,62.6
S1419,Student_419,Grade 9,66.3,57.3,41.2,77.1,41.8,60.0
S1420,Student_420,Grade 9,72.7,72.9,69.0,50.9,12.9,72.2
S1421,Student_421,Grade 9,64.3,64.2,72.6,36.4,6.8,51.4
S1422,Student_422,Grade 6,85.1,95.9,41.3,57.5,40.4,80.6
S1423,Student_423,Grade 8,59.3,64.0,78.4,46.2,36.6,68.5
S1424,Student_424,Grade 6,67.8,67.5,57.8,36.8,7.9,62.1
S1425,Student_425,Grade 8,64.7,72.9,67.2,60.4,48.9,74.1
S1426,Student_426,Grade 8,87.4,100.0,89.2,55.2,24.3,71.8
S1427,Student_427,Grade 10,72.4,77.9,78.5,49.4,44.1,64.8
S1428,Student_428,Grade 8,82.4,82.5,61.0,57.4,72.7,65.9
S1429,Student_429,Grade 6,52.2,39.1,51.6,36.4,7.4,48.1
S1430,Student_430,Grade 6,73.2,62.6,32.7,54.0,5.0,49.6
S1431,Student_431,Grade 9,80.7,77.6,54.2,41.0,60.4,69.2
S1432,Student_432,Grade 9,71.0,64.9,61.8,35.9,37.6,67.0
S1433,Student_433,Grade 6,82.8,80.9,50.2,36.5,48.1,68.9
S1434,Student_434,Grade 6,63.8,64.4,63.0,43.5,72.8,59.3
S1435,Student_435,Grade 9,86.9,92.2,66.2,61.5,64.9,70.0
S1436,Student_436,Grade 6,97.6,96.9,61.6,64.0,129.7,75.2
S1437,Student_437,Grade 10,65.6,70.5,55.2,59.5,30.7,68.1
S1438,Student_438,Grade 9,64.7,65.3,67.5,38.7,26.8,62.9
S1439,Student_439,Grade 6,87.4,67.7,71.6,60.5,20.6,70.7
S1440,Student_440,Grade 6,89.0,79.6,48.6,40.3,6.7,64.3
S1441,Student_441,Grade 10,63.7,62.3,86.2,33.6,34.0,48.0
S1442,Student_442,Grade 8,65.0,52.9,63.5,47.3,13.0,49.3
S1443,Student_443,Grade 8,66.6,72.6,65.3,50.2,101.7,73.5
S1444,Student_444,Grade 10,53.9,69.2,75.6,28.8,35.0,47.9
S1445,Student_445,Grade 10,59.0,71.2,68.5,34.5,35.9,58.4
S1446,Student_446,Grade 10,58.0,55.8,79.3,16.6,17.5,58.6
S1447,Student_447,Grade 9,60.8,75.7,69.3,32.2,5.0,51.4
S1448,Student_448,Grade 8,69.6,71.1,55.8,52.4,5.0,62.3
S1449,Student_449,Grade 6,72.8,69.4,70.4,50.6,22.0,70.1
S1450,Student_450,Grade 9,88.6,82.5,47.8,59.2,5.0,70.1
S1451,Student_451,Grade 8,58.0,55.0,66.6,35.4,37.3,69.9
S1452,Student_452,Grade 8,81.8,77.9,64.5,49.2,85.1,58.4
S1453,Student_453,Grade 10,67.4,69.1,61.9,32.5,85.8,64.5
S1454,Student_454,Grade 6,69.4,71.0,63.1,50.0,43.0,61.1
S1455,Student_455,Grade 8,78.1,78.1,36.8,51.9,9.5,66.6
S1456,Student_456,Grade 6,56.5,60.9,56.8,39.8,79.5,55.0
S1457,Student_457,Grade 8,74.6,86.5,66.4,38.4,86.9,62.4
S1458,Student_458,Grade 6,72.0,81.5,67.4,17.4,8.8,63.0
S1459,Student_459,Grade 6,75.9,61.1,49.6,58.7,53.5,49.4
S1460,Student_460,Grade 6,73.5,47.9,84.0,38.3,13.5,63.9
S1461,Student_461,Grade 9,99.5,100.0,52.0,49.3,64.9,79.4
S1462,Student_462,Grade 9,62.3,48.7,79.5,45.7,235.7,60.6
S1463,Student_463,Grade 8,63.6,61.4,71.4,33.5,5.0,63.3
S1464,Student_464,Grade 10,62.5,50.8,55.3,50.2,91.1,55.4
S1465,Student_465,Grade 8,63.3,45.3,91.6,45.4,39.0,59.5
S1466,Student_466,Grade 7,62.4,67.8,47.1,45.6,145.0,49.7
S1467,Student_467,Grade 10,84.3,91.9,78.8,34.2,25.0,69.1
S1468,Student_468,Grade 7,87.0,81.3,80.0,66.8,75.2,83.9
S1469,Student_469,Grade 10,63.2,37.2,54.9,41.0,5.0,57.2
S1470,Student_470,Grade 6,60.0,54.5,85.9,31.6,16.3,55.1
S1471,Student_471,Grade 10,75.7,79.6,61.2,47.1,5.0,66.0
S1472,Student_472,Grade 6,63.4,48.6,69.3,16.7,148.1,45.3
S1473,Student_473,Grade 10,77.6,79.4,68.9,51.5,67.9,75.6
S1474,Student_474,Grade 8,72.4,72.3,63.0,31.1,76.6,64.7
S1475,Student_475,Grade 10,51.8,57.6,77.2,14.9,111.2,61.8
S1476,Student_476,Grade 6,88.6,89.8,76.9,34.9,5.0,68.8
S1477,Student_477,Grade 8,91.6,81.8,38.8,68.3,19.5,68.2
S1478,Student_478,Grade 10,62.6,74.6,84.6,30.0,5.0,63.4
S1479,Student_479,Grade 8,65.3,63.8,40.1,57.6,9.5,59.3
S1480,Student_480,Grade 9,73.4,73.2,80.5,37.6,10.4,64.4
S1481,Student_481,Grade 9,74.0,64.7,81.9,23.9,25.3,56.8
S1482,Student_482,Grade 8,77.9,73.5,48.6,33.3,12.5,65.7
S1483,Student_483,Grade 9,94.1,85.3,58.8,71.3,5.0,81.1
S1484,Student_484,Grade 8,67.9,66.1,48.4,38.9,7.3,50.3
S1485,Student_485,Grade 10,60.4,77.5,61.8,29.7,6.4,65.5
S1486,Student_486,Grade 6,53.4,39.7,60.4,34.0,144.6,52.8
S1487,Student_487,Grade 7,61.2,45.1,76.7,42.8,57.0,55.3
S1488,Student_488,Grade 10,69.6,84.3,84.7,55.2,137.4,71.1
S1489,Student_489,Grade 10,91.5,89.4,85.9,72.3,23.2,85.8
S1490,Student_490,Grade 8,63.8,57.1,56.6,34.0,13.0,47.8
S1491,Student_491,Grade 9,72.7,83.1,61.9,27.7,64.0,62.9
S1492,Student_492,Grade 7,69.8,63.7,39.7,36.9,15.8,40.9
S1493,Student_493,Grade 7,84.3,100.0,52.9,53.7,14.2,78.4
S1494,Student_494,Grade 8,100.0,100.0,79.5,48.4,10.6,73.8
S1495,Student_495,Grade 8,63.6,58.8,89.2,26.7,5.6,67.8
S1496,Student_496,Grade 8,64.1,85.7,46.5,42.6,11.9,57.6
S1497,Student_497,Grade 6,82.5,76.5,56.1,48.9,17.6,65.3
S1498,Student_498,Grade 10,78.2,85.6,64.6,47.3,44.8,65.0
S1499,Student_499,Grade 10,92.2,95.2,69.2,46.2,5.0,75.1
